,year,month,day,lon,lat,raintot,tmaxavg
0,1981,1,1,-122.433,40.5734,74.0,15.0634
1,1981,1,5,-119.161,35.5211,16.0,18.4718
2,1981,1,5,-120.952,37.5956,7.0,16.4225
4,1981,1,8,-116.126,33.665,1.0,25.4155
5,1981,1,8,-116.207,33.6497,1.0,25.3592
6,1981,1,8,-119.479,35.1367,18.0,18.2113
7,1981,1,8,-121.276,38.2511,49.0,15.9789
8,1981,1,8,-121.491,38.5758,63.0,15.8169
9,1981,1,8,-122.921,39.0232,121.0,14.5634
10,1981,1,15,-116.087,33.4594,0.0,24.7113
11,1981,1,15,-116.354,33.735,0.0,24.0493
12,1981,1,15,-119.323,36.3201,27.0,16.6761
13,1981,1,15,-119.682,36.4294,18.0,16.2535
14,1981,1,22,-121.375,38.397,108.0,14.493
15,1981,1,22,-121.375,38.397,108.0,14.493
16,1981,1,22,-121.393,38.5624,121.0,14.3944
17,1981,1,22,-121.417,38.3801,115.0,14.5352
18,1981,1,22,-121.417,38.3801,115.0,14.5352
19,1981,1,22,-121.497,38.7288,102.0,14.3592
20,1981,1,29,-122.79,38.5156,239.0,15.169
21,1981,1,29,-122.817,38.5403,252.0,15.2606
22,1981,2,5,-117.854,33.6667,13.0,19.831
23,1981,2,5,-118.594,34.1578,25.0,19.1197
24,1981,2,5,-118.594,34.1578,25.0,19.1197
25,1981,2,11,-122.686,38.9899,259.0,12.8944
26,1981,2,12,-119.11,35.16,14.0,16.9014
27,1981,2,12,-121.979,37.7767,135.0,14.493
28,1981,2,18,-117.323,33.2532,37.0,20.4296
29,1981,2,18,-117.346,33.1739,44.0,19.7465
30,1981,2,19,-121.404,38.6061,198.0,13.993
31,1981,2,19,-121.476,38.6856,187.0,14.0352
32,1981,2,20,-117.207,32.9992,38.0,20.1549
33,1981,2,21,-121.639,38.0144,100.0,14.6056
34,1981,2,25,-118.096,34.0203,54.0,20.7606
35,1981,2,26,-121.755,36.8542,45.0,16.7676
36,1981,3,4,-119.483,35.8833,17.0,16.2394
37,1981,3,5,-120.222,36.7481,16.0,15.7676
38,1981,3,5,-120.445,36.8471,23.0,15.7676
39,1981,3,5,-120.567,36.9091,23.0,15.7254
40,1981,3,5,-121.725,36.8417,66.0,16.6127
41,1981,3,11,-122.601,39.0749,170.0,13.7535
42,1981,3,19,-120.088,36.773,14.0,16.4789
43,1981,3,19,-121.375,38.397,102.0,15.4296
44,1981,3,19,-121.856,37.6636,78.0,15.7958
45,1981,3,26,-120.141,36.3992,61.0,16.993
46,1981,3,26,-122.242,40.4458,274.0,16.169
47,1981,4,2,-117.903,33.9346,146.0,20.9718
48,1981,4,2,-118.025,34.1112,142.0,21.8873
49,1981,4,2,-118.069,34.0688,139.0,21.9718
50,1981,4,2,-118.069,34.0688,139.0,21.9718
51,1981,4,2,-118.109,33.8781,140.0,21.2606
52,1981,4,2,-118.192,33.9182,147.0,21.2113
53,1981,4,3,-120.141,36.3992,80.0,17.5352
54,1981,4,7,-121.967,38.8838,145.0,16.9789
55,1981,4,9,-118.378,34.0022,215.0,21.007
56,1981,4,9,-118.566,34.3819,211.0,19.0563
57,1981,4,9,-119.583,36.335,98.0,18.2887
58,1981,4,9,-119.782,36.2833,85.0,18.4507
59,1981,4,10,-119.026,35.3128,36.0,19.7113
61,1981,4,15,-119.164,35.3464,38.0,20.3944
62,1981,4,15,-120.321,37.2581,111.0,19.007
63,1981,4,15,-120.492,37.1361,92.0,18.9718
64,1981,4,15,-121.547,39.0372,126.0,18.507
65,1981,4,15,-121.567,38.6479,134.0,18.0915
66,1981,4,15,-121.576,38.6275,135.0,18.0845
67,1981,4,15,-121.597,39.1424,129.0,18.5563
68,1981,4,15,-121.619,39.1494,127.0,18.5775
69,1981,4,15,-121.692,38.3667,131.0,18.2887
70,1981,4,15,-121.712,38.6101,133.0,18.0845
71,1981,4,15,-121.724,38.7967,119.0,18.2606
72,1981,4,16,-118.622,34.4311,196.0,20.2887
73,1981,4,16,-121.149,38.686,187.0,17.9014
74,1981,4,16,-121.336,38.6886,157.0,18.1408
75,1981,4,16,-121.383,38.4255,138.0,18.3662
76,1981,4,16,-121.397,38.6061,149.0,18.2183
77,1981,4,16,-121.491,38.5758,143.0,18.2183
78,1981,4,16,-121.502,38.2462,119.0,18.5423
79,1981,4,16,-121.555,38.4954,137.0,18.2817
80,1981,4,16,-121.635,38.5228,138.0,18.2535
81,1981,4,16,-121.677,38.5864,133.0,18.2606
82,1981,4,16,-121.795,38.6826,130.0,18.2394
83,1981,4,16,-121.795,38.6826,130.0,18.2394
84,1981,4,17,-121.656,39.1609,124.0,18.8803
85,1981,4,22,-118.489,34.1728,121.0,21.5211
86,1981,4,22,-118.489,34.1728,121.0,21.5211
